Username,Tweet
Gita,"@dilaraniterus @worksfess Wih keren, di gojek apa grab itu kak? Apa maxim?'"
mei,coba seminggu naik maxim buat aku ngelampiasin emosiku
urgirl,@heyCh1l Aku udah punya akun maxim :('
acil,@rvkmlln Kak ga mau nyoba di maxim? Dapet saldoo 100k pengguna baru dan wajib pake kartu smartfren  https://t.co/GhiqzL29yP'
Udins,@YouKnouWho @kobokanaeru akhirnya sadar sering melanggar maxim'
Lrlatif,Beneran dah.. gw megang cash gegara mau naik maxim doang https://t.co/aweWrXsKf5'
Fred Si Ikan,maxim kenapa gabisa cashless sihh
delta,titik jemput maxim agak sulit dimengerti ya
Yoon see ri,@gossipgirlsxme @llabatul @cim0li @FOODFESS2 Hampir sering pake Maxim aman alhamdulillah https://t.co/YSZpTNu54x'
Grace | Forever Huta & Peniel,Selalu percayakan pada MAXIM. Ga semahal aplikasi lain
yaya,"lagi sibuk kira duit maxim bisa non tunai, mana ga megang uang cash"
fajar online,"DPR Ingatkan Gojek, Grab hingga Maxim Jangan Eksploitasi Pengemudi Ojol! https://t.co/wWATNh5wtJ #AplikatorOjol #DPR #HamkaBKady #OjekOnline'"
f,"@convomf indrive, kalo maxim pernahnya ngirim barang'"
~,"Bener banget ya, aku ngerasain sendiri pas ikut suami merantau ke jakarta, cuma bawa HP install E-Wallet. Trus pulang naik maxim. Eh ternyata ngga bisa"
pom pom gurls,@samarindabase Yaampun yang paling nonstop make maxim itu dosen dosen kan @bibintang13'
Brie,"@tanyakanrl Mau murah pake maxim atau supra, itu udah bagus menurut gw. Mau mahal pakai carote atau debbelin.'"
N/A,"RT @Bisniscom: Gojek, Grab, Maxim Diminta Patuhi Potongan Biaya Aplikasi 15 Persen https://t.co/7ZjOeRGSTT'"
Bisnis.com,kalo naik maxim malem suka takut
-,Maxim selalu di hati
vid maba²²,"tolong min @Maxim_Indonesia app nya diperbaiki lagi, eror tadi masa bisa keorder food dua kali:) dibatalin gabisa, thanks'"
dilan22,maxim ga kira kira murahnya
treaaaaa,"lagi hujan gini mau pulang akhirnya pesen maxim, untung ngga di cancel"
Aidar Nurul Syahwal,"@catchmeupid Jd inget mbak-mbak bawa mobil terus lempar udud ke jalan, uwe lg pake maxim, terus uwe teriakin , elah malah emosi https://t.co/vdzfxcMf8B'"
ScoobyDoo,"Jadi inget tadi sore naik maxim tapi bpk""nya pake jaket grab, terus pas turun aku bilang makasih, bapaknya langsung seneng banget https://t.co/vMyKVUySsi'"
ꜱᴛɪʟɪʏᴀɴ,Daripada naik grab mending maxim
sana - chan. 🐱,@LUNERP Order maxim kenapa selalu lama
SINPO ID,Seneng banget kalo abang maximnya dapet yang ramah gitu
Solopos,"Gojek, Grab, dan Maxim Bahas Tarif Ojol Baru di DPR https://t.co/2AIL8ceoiF'"
partofanggita,"Btw tadi aku order Maxim kan mau kirim Dokumen, eh ternyata nama drivernya sama kaya nama depan kamu wkwk'"
rik || gonna meet BANGCHAN,Alhamdulillah naik maxim aman
satyull,@celinespacee @UGM_FESS hehe sebelumnya pas aku sendiri ke sana masih pake maxim si...sekarang udah bawa motor sendiri https://t.co/5fA9zIa1VY'
dira🌞,@ur_teacup AH ANJ. Masa gw nangis di maxim sih'
Wndaaa,Murah pol ni maxim
BokClimber,Ko bisa maxim semurah ini
Katadata.co.id,Maxim menjelaskan organisasi untuk para aplikator ojol ini seperti Organisasi Angkutan Darat (Organda) https://t.co/CdAFgJuPuF'
List Promo Jualan,Lumayan naik maxim beda tiga ribu
drea,"Driver maxim kadang suka ngga pake jaket, jadi bingung"
Lindaa,Seperti biasa pulang bersama si kuning maxim
WikiDPR 2,#Kom5 PT. MAXIM :... masalah komisi. Komisi di mana paling tinggi itu ditetapkan 15% ada di diktum 8 KP 667.  https://t.co/0ilSRDosLl'
wes dadi emak,Masih pagi udah kesel sama maxim
tara,Kenapa baru tau sekarang si maxim lebih murah
Carolinda,@smithygold haduhhh dibuat bingung sama titik maxim
ree,"Gapernah bisa mau pake maxim, soalnya aplikasinya kurang responsif"
wina,susah banget cari driver maxim
caroline,gimana sih ini cara make maxim
hesti,"bisa bisanya abang maximnya nyasar dulu, padahal titik jemputnya sudah benar"
disaaaa,"kata orang maxim murah, ternyata bener"
ULTRAMILK COKLAT,agak males pesen fod di maxim lagi
Red,"kalau ngga karena murah, ga mau pesen maxim"
belle,harga maxim ga kira kira murahnya
Luna,lagi beralih dari gojek ke maxim
ria.penggemar shopee,pesen maxim buat food eh malah ga bener
marimas,"@samarindabase @SamarindaUpdate makai maxim, tapi udah wisuda 1 tahun lalu'"
@hazmifor_,ini maxim murah gini ngga nipu kan yak
@hazmiforDPR,@wikidpr #Kom5 PT. MAXIM :... biaya penggunaan aplikasi atau itu murni hanya komisi biaya penggunaan aplikasi itu https://t.co/7ZITYqSILi'
tasya,lagi cape banget eh dibuat kesel sama maxim yang lama banget
rizariz,driver maxim bawel banget
yipiii,kalau mau murah pake maxim
roni,"coba naik maxim car lagi hujan, harganya tidak naik terlalu tinggi"
susukentalmanis,emosi banget sama ni aplikasi maxim
ronikat,abang maximnya keren
rasiii,kemarin naik maxim pertama kali langsung dapet drier yang ramah
Maxim Raiz🇮🇱🇱🇻,maxim gak jelas
Sa7da's 🍓,@diethingy Aku maxim https://t.co/kEUSjmjfMB'
dike,suka bingung kalau ngga ada cash tapi mau naik maxim
Fii 💸 RT LIKE,Ini bisa cashless pakai maxim ko
Bisnis.com,Gakuat naik maxim
rezaaaaaaaa,andalan aplikasi ojol murah ya maxim
apaan dah,murah meriah bersama maxim
grienthi's,agak kaget kenapa maxim harganya jauh lebih murah dari grab
freeong,@samarindabase aku pake maxim trs tp domisili lg ga disamarinda'
matcha☘️depan mu,nunggu abang maxim tersayang haha https://t.co/wjJsCsVXyM'
Desy Tri W,Udah langganan maxim banget ni
IG: @redevils.revolution,selalu pakai maxim karena lebih murah
Mary (THE DEAL IN MY PIN),RT @thestorykids: -tsk Ada ojek maxim cuma iseng
nnn,naik maxim selalu nyaman
boky1,abang maxim kenapa ngga bisa tepat waktu sih
silenciooo,"ngga mau lagi deh kalau disuruh pakai maxim,, mending naik gojek atau grab aja"
hilman,@firdaoctafsafin @llabatul @cim0li @FOODFESS2 grab kadang harga nya emang lebih mahal dari maxim sih.
ndaruja,Selalu dapat maxim yang baik
Wikita,titik jemput maxim dibenerin dong woy
ashgrey,@jembermfs daftar maxim aja mending'
jenoya,"udah ah ga mau naik maxim lagi,,,makin kesini makin kesana semakin aneh'"
Josan,"#Kom5 Maxim : Ketentuan tersebut di cancel, akibatnya harus harus di reset sampai akhirnya berlakulah yang KP 667  https://t.co/ro8nEdOwtU'"
qia,hujan hujan naik maxim
irfan,maxim meresahkan
Wandaaaa,maxim adalah aplikasi andalan perojekanku
Vanilla,best maxim mah
Maxim Tangerang Raya,"Maxim mendukung perjalanan yang aman! Jika kamu naik motor - wajib hukumnya pakai helm, jika naik mobil - jangan lupa pakai seat belt https://t.co/dI5QTNwmhm'"
Aizul Zulkhaidi 📍,@seketul_amm Dekat dgn area maxim je ni
#IDNWorldSBK ‼️,"endingnyaaa, aku nungguin angkottt, tapii angkotnya bener benerrrr gaadaaaaa. trusss ywd, aku pesen ojek maxim aja, https://t.co/QJRYSIPb1Z'"
ؘ,maxim aplikasi sesat. tiba2 t order 2 driver dan nda bisa di cancel anjr.'
antaranews.com,"Menurut pihak Maxim, organisasi yang berisi para aplikator diharapkan bisa mendorong keterlibatan mereka https://t.co/2hJNDBnsiH'"
PARTOWIJOYO,Suka depet murah pake maxim
Tim Kardashian ™,"RT @kumparan: Dari tiga aplikator ojol yang hadir, Maxim mengaku kecewa Menhub Budi sempat revisi aturan tarif ojol."
kumparan,"Dari tiga aplikator ojol yang hadir, Maxim mengaku kecewa Menhub Budi sempat revisi aturan tarif ojol.  https://t.co/lfx6c7byPi'"
raziii,ugal ugalan ni maxim
WENA,untung msxim ga susah disini
pacar hc | yg mau unfol bleh,maxim nunggunya lama
rezi,sepajang jalan dibuat ketawa mulu sama abang maxim
Kompas Ekonomi,"Soal Tarif Baru Ojol, Maxim: Ada Aplikator Lain Pasang Komisi Tak Sesuai Aturan Kemenhub https://t.co/KK3D8OrwcI'"
Noah.,"@convomf Maxim gak bisa dipake disini masa, inDrive adek tingkatku suka pake dan bisa nego ya katanya'"
Russianclimb,"sepanjang jalan banyak ngobrol sama abang maxim, sukaaa"
michan,@ardianto_624 Dr sana dptna go bukan maxim'
N F,Niat pake maxim biar irit malah nyasar hahaha sama aja. Maps nya maxim geblek bgt dah'
༺ lid,maps maxim suka ngaco
deaa,jadi telat karena drivernya nyasar
zea ʚɞ,"abis naik maxim, eh nabrak motor "
Maxim 🇳🇱 GR,murah maxim
MaximBandaAceh,"Kamu lapar? Tenang, kamu nggak perlu repot masak apa-apa! Pesan makanan favorit kamu langsung di aplikasi Maxim. https://t.co/D0PYVzUYq8'"
r i b i,"@convomf aku tim maxim, walaupun lama banget dapet drivernya kadang udah dapet eh dicancel.'"
Aerth–Lesia.,@convomf inDrivee. belum pernah nyoba maxim sih.'
pacar hc | yg mau unfol bleh,yang penting maxim murah
bambi,@convomf Indrive murah tp agak lama nunggunya. Kapok pake maxim
dipsi l(ala) poo,@convomf maxim sih'
ً,@convomf maxim kalo sekitar jakarta tu cepet dapetnya tapi kalo udah tangerang ya allah lama sekali'
167km/jam,@llabatul @gossipgirlsxme @cim0li @FOODFESS2 Sama aku juga pake maxim.
Marshall k/ia midterm exam.,"Gue mau nangis sejam disini nunggu mau pesen Maxim gak bisa, grab juga gak bisa, gojek mahal bgt gile.'"
transonlinewatchcom,"Sampaikan Usul pada DPR, Maxim Keluhkan Kebijakan Pemerintah https://t.co/sigSkV339g'"
ine,maxim sekarang udah banyak ya seperti gojek dan grab
Corporate Slave with Palugada Job Desk😎,@samarindabase Sayang range gw kaga masuk tapi gw always pke maxim setap hari
🐺,"aku waktu itu nyoba pake maxim, kurang suka. Jadi balik ke grab"
cerita sy.,kemaren kemaren tu baju belakang mamang maxim nya kena eskrim.. trus aku gabilang tp aku ksih tip'
Dewi Ariyani,"Motor dirumah ada dua terpakir, tapi bisa bisanya maxim dan grab tetep menjadi pilihan."
taroch♡,"degdegan bgt anjir, parah uts jam setengah lima, jam empat baru pesen maxim. Untung abangnya ngebut"
Shinchan AbuAbu,naik maxim dan dapet driver udah sepuh. Well semangat kerjanya
SAMPAI JAUH,@FOOD_FESS aku pake maxim yg kayaknya udah punya nama dari dulu'
arkala,@minewjine lucu banget maxim'
Notyoufav.,"harus sabar kalau mau pesan maxim, karena kadang lamaa nunggunya"
kq,"dapet gratisan maxim tapi ga dapet2 dah, emng paling bener naik gojek lh'"
blueeezy,yu maxim bisa yu bikin cashless payment'
naufal,nyasar lagi aja pakai maxim
akaa,@moviemenfes naik maxim ga boros karena masih terjangkau tarifnya
rachel,maxim error disaat yang tdk tepat
dewa,semiggu ini lagi suka naik maxim
L🥊,mending order maxim food buat makan biar murah
nara 🦁,"jadi kalo misalkan aku gapunya kuota jd ga pusing atau khawatir gabisa pesen maxim, soalnya kan ada motor sndiri'"
nara 🦁,"lagi) :((( ya salahku juga si, aku juga minta buat ga bareng sama dia pas pulangan karena aku mau naik maxim, alias gamau ngerepotin https://t.co/Zeo8V5TuUX'"
nara 🦁,"mau bisa naik motor krn bisa kemana mana tanpa harus ngeluarin duit buat maxim, apalagi maxim sekarang tambah mahal. https://t.co/FiePbgL6Ju'"
🎧🎶❤,@ezash Tapi kenapa maxim bayarnya masih cash?'
Sho,maxim murahh
kentang wisuda September 2023 🍟,@FOOD_FESS Maxim bagus shayy'
Dra.Sri Rahayu PDI Perjuangan,Maxim banyak potongan tarifnya
Help rt pin 📌,kesel dah sama maxim
rin 🌥️,@sbyfess Maxim pernah dan aman'
rara🔮,Gw lagi naik maxim tiba tiba kebelet kentut pliss mau gw keluarin takut bunyi tapi kalo ngga gw udah kebelett
asnhana/||💗,Maxim suka pada nongkrong depan kampus
ᕱ⑅ᕱ ara is seeing skz 🫐,Info driver maxim yang bentukannya kek gini dong https://t.co/lNnL08H3Wz'
isael.,@titiklumpu de jadi supir maxim aja dulu koneng-koneng.'
rens,"@laraspjg naik duakali lipat yaa, parah bgt, naik maxim baik baik drivernyaa"
laras pnj,"@renfrnd Bener ih, dulu bisa cuma goceng paling mahal ceban buat ke kampus sekarang mahal padahal dekett. Pake maxim ajaa https://t.co/d8j3wmOEaq'"
t-rex,Alhamdulillah dapet dari apk Maxim:) https://t.co/UpVzi5xzWL'
cici cici galak 黄,@FOOD_FESS Maxim bagus kokkkkk
🥀,Harus dihadapi dengan emosi. Mau dibilang maxim harganya murah tapi ngga gini juga https://t.co/0KZI2XEngc'
ta,@FOOD_FESS maxim harganya ditengah tengah dan paling worth it sih'
Bumi Mataritama Konstruksi,"ngga semua maxim ngga bener ko, aku selalu aman"
꧋ꦆꦤ꧀ꦝꦃ✨🌼,@FOOD_FESS Maxim udah terpercaya sih.
je.,"gua naik maxim, abang abang nya pake moge, yaAllah harus menahan keseimbangan biar ga nyusruk trus meluk abangnya'"
the Astronaut's wife⁷ •ᴗ•,@yaudahyadek Konon katanya itu maxim.. Jadi murah https://t.co/NjlZG4aqpm'
Mũrũthi wa Gakenia,Naik maxim harus siapin uang tunai biar ngga bingung
iya,@ezash Tidak dengan pengguna Maxim.. alias dompet penuh receh setiap hari'
an,@FOOD_FESS Andalan ibuku si maxim nder
fabiru,lagi bucin naik maxim
Bumi Mataritama Konstruksi,"go send pake maxim murahhh, cepet juga"
nadin punya freebies buat stay,laki gue kayak driver maxim https://t.co/JshkofJcM2'
Diky Murdoyo Rahadia,"@Maxim_Indonesia Dear team maxim, saya sudah mengganti nomer HP. Namun saya tidak bisa login karena meminta password https://t.co/GDIT8yL1jN'"
nini,@pitzalicious Naik Maxim kadang-kadang nggak nyaman karena drivernya rude. Aku sih terima mahal di gojek. https://t.co/YqFMn3jMSk'
ini cilup,Jarak jauh di maxim juga ngga terlalu mahal
Mary (THE DEAL IN MY PIN),JAKETNYA MIRIP BANGET AMA JAKET MAXIM WOI WKWKWKWKWK'
pi 🍕,Kadang suka ga jelas aplikasi maximnya
met,"@ArAris95 Sama.. tpi ya gak apa, harga nya kan murah..hitung kasih tips buat babang maxim..'"
bacot.,"kan kalo nunggu angkot kaga ada yg lewat, giliran udah mesen maxim angkot pada lewat'"
RIS,Sering pake maxim tapi drivernya ga ada kembalian hahaha'
pi 🍕,Suka pesan maxim soalnya tarifnya murah meriah
Rona,"pake jasa maxim itu murah banget, kita juga bisa melakukan peningkatan biaya biar dapat drivernya.  https://t.co/KHElGM7cNE'"
Anting tingtingting,"@cim0li @llabatul @FOODFESS2 Ooh wah aku keliru berarti, maaf maaf. Maxim emang murah  https://t.co/t75QESMkFZ'"
Call me Pras,"@nevermindf_ @gossipgirlsxme @llabatul @cim0li @FOODFESS2 Bukan Maxim yg itu kak, ini maxim ojek online"
` ikeu's day-3,"@rikiluvrara yee i pun tengah pikir juga ikalau naik maxim kan pergi aja dah berapa, pasti maxim mahal  https://t.co/Fpfxq0koHv'"
Anting tingtingting,@llabatul @cim0li @FOODFESS2 Jauh bgt perbandingan harganya. . Maxim murah banget https://t.co/i5hdmNotDu'
samm,@coganbender maxim emg problematik bgt gasi:( jujur aku juga sering ngalamin kek gini'
mcdcriedfricken,@llabatul @cim0li @FOODFESS2 Maxim emg jelek bgt nder. Kapok deh maxim https://t.co/bgatxL82OR'
Cimoli,"kalau lagi harga normal sebenernya maxim sama aja sama gojek, tapi masih lebih murah maxim sedikit"
0oday.s,semalam aku dengan temenku pulang dari bazar beauty mau ke mcd mongonsidi naik maxim car. https://t.co/QO6rwXWeXd'
kale.,"@gossipgirlsxme @llabatul @cim0li @FOODFESS2 tapi emang maxim paling murah kak, ya lumayan lah kalau dibandingin gojek sama grab'"
Maxim Bali,@rockintari @Maxim_Indonesia Btw perjalanan kakak menggunakan maxim telah dilindungi oleh santunan kecelakaan YPSSI. https://t.co/daecsPAPWD'
dio,pesen maxim tapi ternyata malah nyasar
Maxim Bali,@cil0ktulus MJB - Di Maxim terdapat biaya waktu tunggu setelah lima menit pertama https://t.co/eR0do0ctat'
F I T R I N I S S,@FOOD_FESS Maxim bagus sih ga abal
Maxim Bali,"@vinonandri @maxim MJB - Mohon maaf atas kejadian tersebut. Jika kakak mengalami kejadian tak menyenangkan pada maxim, silahkan hubungi pihak kami https://t.co/4U2kyU4Og6'"
Crush on you,aplikasi maximnya error nih kesel
Na,"hari ini diingatkan sama bapak driver maxim: ""pekerjaan apapun kalo kita ikhlas dan menikmatinya akan menyenangkan https://t.co/ABPYHP40Le'"
justbin,lokasi driver maxim kenapa jauh banget ngejemputnya
juny🍀,@FOOD_FESS Di rumah sering pkai maxim
barbie giveaway,tiap naik maxim nyasar mulu
arii,demi Allah gw masih gk ngerti gimana cara ngisi saldo maxim biar jadi cashless GITU LOH
notfound,"bisa ga yaa harga maxim tuh jadi lima rb aja, bangkrut lama"" kalo gini https://t.co/iJtVhUrYxu'"
andikaaa,dikotaku maxim masih sedikit
enaa,"Sumpah ya maxim. Driver pertama gada kabar, driver kedua malah nyasar gatau kemana, driver tiga lokasinya nya jauh bgt. Ngapasiii https://t.co/xMbG84aa9N'"
Izz,@missjayseong dulu zaman maxim baru lagi selalu juga pakai tapi ada yang ngga aman dan susah di dapat. https://t.co/ByJ6q0p4lA'
Cimoli,@FOODFESS2 Ini maxim kan? Emang jelek nderhttps://t.co/novpbgMiE3'
akaa,"ya Allah, udah hari senin aja. Kembali kerutinitas memesan maxim ke kantor"
Asal Jeplak,aplikasi maxim masih kurang bagus tampilannya
アベル🇫🇷👮,naik maxim selalu suka karena murah
Aak,@Maxim_123456 Buat ngasih edukasi supaya maxi ga aneh aneh
camembert cheese🥛🍼 in her britney 2008 era,terus ni si maxim agak nya agak aneh
dea,kode promo maxim biar dpt diskon apa ya. susah bgt aktifinnya'
naissance,"@SugengMesdianto @Kakeane17 @tvindonesiawkwk udh ketahuan itu lokasine, di Semarang Utara. Kesana bisa naik bus bentar habis itu naik maxim yang murah https://t.co/BtAeHxKe61'"
juju,"tadi dapet driver maxim car yg enak bgt diajak ngobrol, duh sayang gasempat tukeran ig'"
Chell,"Pernah diginiin sama abang maxim, mana abangnya ramah dan seru banget, sebagai tim act of service tentu saja baper wkwk https://t.co/fTdHPVyCMU'"
Drw William,naik maxim yang mobil ga kalah nyaman sama gocar
피아,"TMI for today, abang maxim nyetel lagu ginian di mobilnyaa. Padahal nih lagu gamau gua denger lagi selama perjalanan https://t.co/dkOO3p81rx'"
raairak,"naik maxim hari ini, helmnya bau bensin krn ditaro dalem jok https://t.co/l00foblNWR'"
Dublin,@coganbender Ini apa? Maxim?'
kizu,Tadi babang maxim nya asik juga diajak ngobrol
peachy✨,@pakbamban9 mana sini kirim pake maxim'
arin\⁷,driver maxim tuh punya masalah apasih'
larr,"GUE NANGIS BGT PUNYA TEMEN BAIK BGTTT,  beneran nangis bgt di maxim kok bisa ya gue punya kenalan sebaik ini padahal tadinya gak kenal https://t.co/nSDgjBK2VQ'"
putr🌷김정weus,tingkatkan terus si kalo bis layanan maximnya
bestpart,"seneng baget pake maxim udah cepet, murah juga"
tweetfess,RT @jnadnad: @Maxim_Indonesia kualitas pekerjanya maxim beda dari sebelah.
bolaskor.com,"Lama banget nungguin maxim ga dateng dateng, udah tau lagi buru buru"
karsa.,Murahan maximlah jelass
piko ˚ ༘♡ ⋆｡˚ will meet enha in BKK,@missjayseong yeee tapi maxim susah dapat driver
Aisha,@puargue jujur dari awal mau pake maxim tapi bingung deh masa nama tmpt di mapsnya kek bahasa asing gitu'
Mas Ndeso,@hantsutomo Pilih maxim yg murah'
kala,"maxim dong, gojek aku beralih dari mu'"
aca,"Baru pertama kali pake maxim karena driver gojek jam segini enggak ada yang take terus kaget, driver maxim sesantuy itu https://t.co/vJZb9x2SzT'"
🍪 assa,"hari ini kenapa si, dibawa driver maxim ugal ugalan bgt mana bau alkohol ya allah takut'"
🖤ha'in🖤,"@missjayseong jauh bedanya sama grab atau gojek, murah maxim"
Mas dwi,@Crisyeyk Pake maxim juga bisa lebih murah biasanya
Lord Fito of Foreste.,Beneran ngebayangin Maxim kaya yang di video'
ya,"@missjayseong yess izz, i kat sini pon selalu guna maxim, but if naik maxim becarefull okayy kalau sorangg'"
izzah,"maxim car murah nyaaa dari grab, maxim car cuma tujuh belas ribu"
Ika,ternyata enak juga ya full seharian maxim lyfe tuh
-,"@menjadipemalas awalnya udah pesen grab, gojek, maxim gada yang nerima. terus sinyal tri ilang. yasudaaaaaaa untuk yang terakhir bisa pake maxim'"
barat daya,Kenapa ya beli maakan di Maxim disini kebanyakan warungnya tutup hem kek males banget kasian drivernya aku cancel terus https://t.co/7KgVbrL8iT'
𝒓𝒂𝒕𝒖𝒖,@pitzalicious RILL BRO INI EMNG MAXIM PARAH :('
Asep shelby,@UGM_FESS Temenku tadi pake maxim nder'
furi,"@atzmigi ku tadi pesen maxim, cuma emang nunggu drivernya harus dengan dada yang lapang'"
sya.,@unokensho Coba ah besok pake maxim
titatitu,dua hari yang pake maxim berangkatnya doang wkwk.
Apostrophe❤️Dover❤️,broh sy loyo ini perkara maxim ga dateng2 yalort:((((((('
nia,"@albedyo im ok gitch, makasiii!! tadi sempet aus+mau lemes pas ngantri busway yg padett bgt jadi aku naek maxim aja ke mrt terdekat'"
Tuna Kucukoztas,@nocontextfooty Kalo lagi gapunya uang suka pake maxim
nia,@raindezvous123 pulangnya agak drama karena minumku abis+mau lemes dan ngantri bgt. Untuk maximnya cepet https://t.co/4mqBAubpeo'
keyi,@minewjine titik lokasi maxim suka ga akurat
azylee,Ya Allah maxim'
aveeh,@minewjine mauuu donggg jadi temen baru maxim
un di ne,Kesel banget masa maximnya yang lama gua yang kena omel https://t.co/KvK8ij7Unl'
Rachel,Kapan si maxim ada ewalletnya
rian,Gak tau ya kenapa belakangan ini lebih seneng pesen maxim
a i d e n,"njir beberapa kali gua dapat driver maxim yag ternyata kating :')"""
yuka,naik maxim abangnya asik banget weh
j o e,Seneng banget kalo pesan maxim drivernya baik dan ramah banget
xxnbilla,"harga jauh beda naik maxim, lebih murah pol"
nia,perasaan titik jemputnya udah bener. kenapa malah driver maximnya muter muter
raaacaaa,"coba bandingin maxim sama gojek atau grab, masih murah maxim"
cacaa,@minewjine maxim kemana ajaaa sih??
Arif,"@giIangmahesa Maxim mulai berhitung ongkos jakarta bandung, pastinya lebih murah dan diantar sampai titik koordinat https://t.co/j69XhocO8B'"
cacaa,"RT @minewjine: Halo, ini Maxim dengan akun baru. Mau cari temen lama dan baru. Bantu rt dan like ya, terima kasih https://t.co/JYli8ymcxd'"
Iyokkaa?,@raxyfyy @hlndmnc Wahh.. semangat abang maxim narik nya
zzuraa🍂,order maxim lagi buru buru malah lama
llorente,@hlndmnc @07arturrr Btw aku driver maxim'
rain🍓,COI MAXIM BAGUS BANGET
de Paimin's,@Listy9021 Pilih maxim wae. Ben maksimal mencintai diaa....
Ponyo,trus udah sore jugaa aku ga enak deh ninggalin mama sendirian kan. jadinya aku pulang tuh. rencananya aku mau mesem maxim tapi ngga jadi karen inget kemrin naik maxim malah lama banget https://t.co/vXOW7sT974'
Qrpay,Naik maxim supaya dapet murah
Pitaaaa,"@ngalamfess Kakakku jual, sistemnya PO. Tapiiii kalau diantar ke kos gabisa :( soalnya jagain anaknya di rumah, bisa pake maxim yang ongkirnya murah https://t.co/tbGSB8UbSB'"
Lia⁷💜,Kayak kenal ini orang Maxim nya wkwkwkwk'
lia,"@JAPANFESS Klo pake motor, mending pake maxim aja https://t.co/aNEBuZ1tFl'"
Ressa,"Iseng baca review app gojek, indriver, maxim,  pada bingung sama interface barunya, gw mikir iya juga ya kadang gua juga bingung https://t.co/avlFFh6UTI'"
zara | kinda ia,"Hari jumat kemarin gua pesen maxim dari rumah ke kampus, terus dapet yg seumuran njir wkwk, mana dia tau nama cowok tempat tinggal gue "
nadiya arawinda,@Maxim_Indonesia Pekerja maxim tolong di perbaiki attitude nya !!! Hih kesel'
nadiya arawinda,@Maxim_Indonesia pantesan aja maxim lebih murah dr merek sebelah. Emang kualitas pekerjanya juga beda. Bye uninstal'
akaa,anjay akun maxim gua baruuu'
nadiya arawinda,Maxim mana maxim sini gue mau ngomong pekerja lu tuh kurang ajar bgt . Nagatain gue orderan ribet. Diajak ngomong baik baik malah nyolot https://t.co/FuHuRH3sZx'
N.I.K.I.T.A,maxim ya bestie. tapi saya tidak pengang cash *bangsat*. ditengah tekanan batre tinggal 2 persen  https://t.co/7XuyCTIMaj'
° A R A ° || Kinda ia,"wkwk ya allah ini gw ngakak banget, jadi gw kan mesen maxim terus mau ke cp, pas naik langsung di tanya ""mau ketemu sehun ya ka"""
Cila ☁️,"@discountfess Pake maxim aja nder lebih murah, udah bandingin sm grab sm gojek, maxim murah poll  https://t.co/nr3fygyfW1'"
j—,lumayan dapet promoan maxim
김은한 | Bubbles ♡,penyelamat kantong pelajar adalah maxim
fitriyanifm,@rajabupatipadus Joy ini aplikasi apa maxim bukan'
indahʕ·ᴥ·˵ʔ,bersyukur di poso sudah ada maxim
orchid,"ikutan ah mau coba maxim, katanya lebih murah dari si hijau"
jaarakun,"jadii kan semalem gue abis nonton konser di gbk bareng temen nah baliknya sendiri"", gue pesen lah maxim https://t.co/CaMrLUswyX'"
ᴍïc,@convomf daftar harus punya stnk sama sim yg hidup. tapi kayaknya udah tutup. lamar maxim aja nder langsung keterima'
anjuu,ada yg pernah pake maxim ato indriver gasi?'
morgan punk,@strawberrylvy maxim solusinya'
Put sedang diet,@diethingy Maxim ajaa lebih terjangkau di kantong
What's my name,@lxcleopatraxl Wah adakah jalan maxim ni akhirnya akan ada perubahan @eiyzone'
$,@vSeyhh maxim disini banyak
linaa,cukup sekali menggunakan maxim
Bay,"udah pake maxim padahal, tapi biayanya masih mahal"
diandaa,punya pengalaman yang kurang bagus memakai aplikasi maxim
MAXIM.,"pertama kali nyoba maxim car, jauh lebih terjangkau dibanding sebelah"
pie,gokil dah abis nangis di gerbang utama waktu cek maxim ongkosnya udah naik llima belas ribu aja https://t.co/3QsFg0Y7iP'
cilla🦈,@roxyalyy maxim lebih murah'
chaa,@stfutod pake maxim lebih terjangkau
alpha,@minewjine gue kira maxim app buat ojol doang
E🗝️,"Terus naik maxim dapet deivernya jauh banget, gua di semanggi drivernya di ambassador "
ؘ,Inimah gw diajak muter muter sm abang maxim anjay
dya 🥨,akhirnya sampe rumah pake maxim car(?) https://t.co/Q3AqbhSjEc'
UNSFESS,ada yg tau ga kalo mo naik go ride ato maxim di deket st.tugu tuh titik jemputnya dimana?'
レナータ | sho's,anjir gua kesel bgt sm abang maxim amatir anjir jadi tukang maxim'
𝓡enza,"algoritma pencarian driver maxim tolong diperbaiki dong, jelek banget"
surya,pelayanan maxim jelek banget
Winter Bear🐻,@tanyakanrl SUMPAAHH!! gua benci bgt catcalling sering tiap mau kekantor dari stasiun tebet atau mau ke stasiun tebet. Mana kebanyakan maxim https://t.co/c3t2uziiEg'
Iyokkaa?,"jadi ini pertama kali nya nyobain app ojek online namnya ""maxim"" bener2 harga nya gak masuk akal murah ternyata ya https://t.co/FVOspjlmEq'"
cip,Kalo turun di serang dan naik maxim mahal polllll
pen,aku masih percaya abang maxim da https://t.co/RoWm1pYyZG'
ay 🐧 ia,"@cinderjaems coba maxim kakkk, aku biasanya pake itu murah'"
wawa kedua😾,naik maxim tp malah dejavu sm motor abangnya
anie $COOKIES🍪,@crjitic Maxim ada akun barunya gasi ci?'
